gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,lineage
LINC00407,0.01730842407670631,0.5506768326213318,1.0,13.782773,False,LSEC
LINC00330,,1.0,1.0,0.0,False,LSEC
TPT1-AS1,-0.017482998509599126,0.5466643882815858,1.0,1.1433434,False,LSEC
SLC25A30-AS1,-0.0035733930847597272,0.9019552209027144,1.0,13.882778,False,LSEC
CPB2-AS1,0.026840332494257844,0.35471770982841383,0.9083720581065908,13.621027,False,LSEC
LINC00563,-0.014755148428470246,0.6109583352570609,1.0,12.423855,False,LSEC
LINC00562,-0.045987420202957444,0.11268521084487525,0.5249366029497761,15.532162,False,LSEC
SUCLA2-AS1,,1.0,1.0,0.0,False,LSEC
MED4-AS1,0.045698802561319286,0.11496294085458596,0.5249366029497761,12.230934,False,LSEC
LINC00462,0.047722365774366636,0.09973312109886687,0.5004051366762913,12.3970585,False,LSEC
DLEU1,0.09111051834397904,0.0016464506025255594,0.02508675822858431,15.573738,False,LSEC
RNASEH2B-AS1,,1.0,1.0,0.0,False,LSEC
INTS6-AS1,-0.01224159161056446,0.6729957095610122,1.0,2.2200375,False,LSEC
LINC00355,,1.0,1.0,0.0,False,LSEC
PCDH9-AS1,,1.0,1.0,0.0,False,LSEC
LINC00393,,1.0,1.0,0.0,False,LSEC
LINC00402,,1.0,1.0,0.0,False,LSEC
LINC00381,,1.0,1.0,0.0,False,LSEC
MYCBP2-AS1,0.029173036321432606,0.31444263936698735,0.8506708394160191,13.357077,False,LSEC
EDNRB-AS1,,1.0,1.0,0.0,False,LSEC
RBM26-AS1,-0.07798755379607103,0.007087730694973738,0.07943781285405631,15.325791,False,LSEC
LINC01068,,1.0,1.0,0.0,False,LSEC
LINC00333,,1.0,1.0,0.0,False,LSEC
MIR4500HG,,1.0,1.0,0.0,False,LSEC
LINC00379,,1.0,1.0,0.0,False,LSEC
LINC00359,,1.0,1.0,0.0,False,LSEC
FARP1-AS1,0.0344848897556819,0.234358019265014,0.7490776689841004,13.106497,False,LSEC
STK24-AS1,-0.0111489212849181,0.7007065444906023,1.0,14.694946,False,LSEC
DOCK9-AS1,,1.0,1.0,0.0,False,LSEC
UBAC2-AS1,0.03951756653442612,0.17291849096670858,0.6438164960467451,14.491314,False,LSEC
LINC00449,,1.0,1.0,0.0,False,LSEC
CLYBL-AS1,,1.0,1.0,0.0,False,LSEC
PCCA-AS1,0.044096815017656804,0.1282695652073347,0.5566246971528267,13.201112,False,LSEC
NALCN-AS1,-0.007841307450558475,0.7869061353478446,1.0,13.006551,False,LSEC
FGF14-AS2,0.05330770732322455,0.0659047168358622,0.41491165441205646,15.891737,False,LSEC
LINC00551,0.0039299494557443505,0.8922291536143442,1.0,12.632704,False,LSEC
LINC00399,,1.0,1.0,0.0,False,LSEC
COL4A2-AS2,,1.0,1.0,0.0,False,LSEC
COL4A2-AS1,0.015513984633363002,0.5927390169244917,1.0,12.842635,False,LSEC
ATP11A-AS1,-0.0510428028916309,0.07826724948475555,0.44639151346766087,13.988966,False,LSEC
MCF2L-AS1,0.02073367094902759,0.47469402677447275,1.0,13.955431,False,LSEC
GAS6-AS1,,1.0,1.0,0.0,False,LSEC
