gene,lineage,bin,mean_expr,n_cells
NEAT1,Kupffer,5,2.3779454231262207,36057
NEAT1,Kupffer,6,2.740076780319214,36057
NEAT1,Kupffer,7,2.869845151901245,36057
NEAT1,Kupffer,8,2.9186830520629883,36057
NEAT1,Kupffer,9,3.0920257568359375,36057
NEAT1,LSEC,0,3.083235025405884,1191
NEAT1,LSEC,1,3.367356300354004,1191
NEAT1,LSEC,2,3.296847105026245,1191
NEAT1,LSEC,3,3.27199649810791,1191
NEAT1,LSEC,4,3.406947135925293,1191
NEAT1,LSEC,5,3.478977918624878,1191
NEAT1,LSEC,6,3.493347406387329,1191
NEAT1,LSEC,7,2.817540168762207,1191
NEAT1,LSEC,8,1.7673307657241821,1191
NEAT1,LSEC,9,2.2207210063934326,1191
NEAT1,Cholangiocyte,0,1.497205138206482,7941
NEAT1,Cholangiocyte,1,1.992999792098999,7941
NEAT1,Cholangiocyte,2,2.893237352371216,7941
NEAT1,Cholangiocyte,3,2.8687407970428467,7941
NEAT1,Cholangiocyte,4,2.8339431285858154,7941
NEAT1,Cholangiocyte,5,2.8089728355407715,7941
NEAT1,Cholangiocyte,6,2.760404348373413,7941
NEAT1,Cholangiocyte,7,2.7216720581054688,7941
NEAT1,Cholangiocyte,8,2.8852498531341553,7941
NEAT1,Cholangiocyte,9,2.171873092651367,7941
MALAT1,Hepatocyte,0,5.60183048248291,2994
MALAT1,Hepatocyte,1,5.5177693367004395,2994
MALAT1,Hepatocyte,2,5.506950378417969,2994
MALAT1,Hepatocyte,3,5.445562362670898,2994
MALAT1,Hepatocyte,4,5.366535186767578,2994
MALAT1,Hepatocyte,5,5.430988311767578,2994
MALAT1,Hepatocyte,6,5.297248840332031,2994
MALAT1,Hepatocyte,7,5.26438570022583,2994
MALAT1,Hepatocyte,8,5.316244125366211,2994
MALAT1,Hepatocyte,9,5.894618988037109,2994
MALAT1,Kupffer,0,5.806328296661377,36057
MALAT1,Kupffer,1,5.497189521789551,36057
MALAT1,Kupffer,2,5.4023332595825195,36057
MALAT1,Kupffer,3,5.197519779205322,36057
MALAT1,Kupffer,4,5.141794204711914,36057
MALAT1,Kupffer,5,5.259641170501709,36057
MALAT1,Kupffer,6,5.455019474029541,36057
MALAT1,Kupffer,7,5.405372619628906,36057
MALAT1,Kupffer,8,5.377577781677246,36057
MALAT1,Kupffer,9,5.489559173583984,36057
MALAT1,LSEC,0,5.801226615905762,1191
MALAT1,LSEC,1,5.994218349456787,1191
MALAT1,LSEC,2,6.029975414276123,1191
MALAT1,LSEC,3,5.963000297546387,1191
MALAT1,LSEC,4,5.929349899291992,1191
MALAT1,LSEC,5,5.949881076812744,1191
MALAT1,LSEC,6,6.0434770584106445,1191
MALAT1,LSEC,7,6.174832820892334,1191
MALAT1,LSEC,8,5.563128471374512,1191
MALAT1,LSEC,9,5.277616024017334,1191
MALAT1,Cholangiocyte,0,6.081950664520264,7941
MALAT1,Cholangiocyte,1,6.268085479736328,7941
MALAT1,Cholangiocyte,2,5.813236236572266,7941
MALAT1,Cholangiocyte,3,5.842684745788574,7941
MALAT1,Cholangiocyte,4,5.823670864105225,7941
MALAT1,Cholangiocyte,5,5.878012657165527,7941
MALAT1,Cholangiocyte,6,5.813992977142334,7941
MALAT1,Cholangiocyte,7,5.780028343200684,7941
MALAT1,Cholangiocyte,8,5.807021141052246,7941
MALAT1,Cholangiocyte,9,5.742132186889648,7941
MEG3,Hepatocyte,0,0.0,2994
MEG3,Hepatocyte,1,0.0,2994
MEG3,Hepatocyte,2,0.0,2994
MEG3,Hepatocyte,3,0.0,2994
MEG3,Hepatocyte,4,0.0,2994
MEG3,Hepatocyte,5,0.0,2994
MEG3,Hepatocyte,6,0.0,2994
MEG3,Hepatocyte,7,0.01751655526459217,2994
MEG3,Hepatocyte,8,0.011964756064116955,2994
MEG3,Hepatocyte,9,0.008698874153196812,2994
MEG3,Kupffer,0,0.0010373984696343541,36057
MEG3,Kupffer,1,0.0005692466511391103,36057
MEG3,Kupffer,2,0.0012354676146060228,36057
MEG3,Kupffer,3,0.0058001065626740456,36057
MEG3,Kupffer,4,0.015310144983232021,36057
MEG3,Kupffer,5,0.012637465260922909,36057
MEG3,Kupffer,6,0.004483526106923819,36057
MEG3,Kupffer,7,0.0033929911442101,36057
MEG3,Kupffer,8,0.007359161972999573,36057
MEG3,Kupffer,9,0.00621712626889348,36057
MEG3,LSEC,0,1.4332568645477295,1191
MEG3,LSEC,1,1.5111216306686401,1191
MEG3,LSEC,2,1.5625864267349243,1191
MEG3,LSEC,3,1.5903208255767822,1191
MEG3,LSEC,4,1.5563446283340454,1191
MEG3,LSEC,5,1.6064016819000244,1191
MEG3,LSEC,6,1.6450419425964355,1191
MEG3,LSEC,7,1.0081318616867065,1191
MEG3,LSEC,8,0.10510239005088806,1191
MEG3,LSEC,9,0.37921443581581116,1191
MEG3,Cholangiocyte,0,0.002034528646618128,7941
MEG3,Cholangiocyte,1,0.05273693799972534,7941
MEG3,Cholangiocyte,2,0.12886042892932892,7941
MEG3,Cholangiocyte,3,0.1659664511680603,7941
MEG3,Cholangiocyte,4,0.15739315748214722,7941
MEG3,Cholangiocyte,5,0.13068297505378723,7941
MEG3,Cholangiocyte,6,0.13027025759220123,7941
MEG3,Cholangiocyte,7,0.1298852115869522,7941
MEG3,Cholangiocyte,8,0.09134341776371002,7941
MEG3,Cholangiocyte,9,0.0,7941
HULC,Hepatocyte,0,0.0,2994
HULC,Hepatocyte,1,0.0,2994
HULC,Hepatocyte,2,0.0,2994
HULC,Hepatocyte,3,0.0,2994
HULC,Hepatocyte,4,0.0,2994
HULC,Hepatocyte,5,0.0,2994
HULC,Hepatocyte,6,0.0,2994
HULC,Hepatocyte,7,0.0,2994
HULC,Hepatocyte,8,0.0,2994
HULC,Hepatocyte,9,0.0,2994
HULC,Kupffer,0,0.005187690258026123,36057
HULC,Kupffer,1,0.002095659263432026,36057
HULC,Kupffer,2,0.002178007736802101,36057
HULC,Kupffer,3,0.002390019129961729,36057
HULC,Kupffer,4,0.0016768680652603507,36057
HULC,Kupffer,5,0.0037007052451372147,36057
HULC,Kupffer,6,0.0004362219769973308,36057
HULC,Kupffer,7,0.0005275169387459755,36057
HULC,Kupffer,8,0.0,36057
HULC,Kupffer,9,0.001131419325247407,36057
HULC,LSEC,0,0.019812578335404396,1191
HULC,LSEC,1,0.007565338630229235,1191
HULC,LSEC,2,0.0,1191
HULC,LSEC,3,0.0131831094622612,1191
