label_set,lineage,gene,rho_main,rho_median,rho_min,rho_max,sign_consistent
lineage_leiden,LSEC,MEG3,-0.31496564747814804,-0.3677602315916749,-0.4509317528257997,0.40999572276183144,0.75
lineage_leiden,LSEC,ZFAS1,0.3242947654684232,0.36300136221770624,-0.4273621207579477,0.45454168070329476,0.75
lineage_leiden,LSEC,LINC00996,0.005678928759378144,-0.002304292090099036,-0.03168291216999725,0.00497674096155896,0.6
lineage_pub,LSEC,MEG3,0.06373483428169531,-0.024948866509062008,-0.15886348990195148,0.17808730978123982,0.6
lineage_pub,LSEC,ZFAS1,-0.08139322591446754,-0.05074291019673287,-0.16385890661554045,0.11958859767346178,0.8
lineage_pub,LSEC,LINC00996,-0.026463375882908795,-0.014502915121976118,-0.06504242212237753,0.011328902196143166,0.55
lineage_leiden,Kupffer,MEG3,0.03370479223072738,0.0053132160500749,-0.019067562451444812,0.03565635466980551,0.75
lineage_leiden,Kupffer,ZFAS1,0.19584121993706066,-0.052425115146154874,-0.083705365044135,0.1969602682909614,0.6
lineage_leiden,Kupffer,LINC00996,-0.05807281475744695,-0.010287198205516695,-0.060219248834946455,-0.00045649454863376125,1.0
lineage_pub,Kupffer,MEG3,0.11549389674254824,0.11931099970372865,-0.03531872253485113,0.13211389922228992,0.95
lineage_pub,Kupffer,ZFAS1,-0.026424296507368713,-0.009071026269706753,-0.17800674079919634,0.18479639786359678,0.6
lineage_pub,Kupffer,LINC00996,-0.014473399562032562,-0.01772813825038095,-0.06068977737293519,0.037293557604058884,0.95
