gene,is_lncRNA,hvg_standard,hvg_forced,mean_raw,var_raw,index_of_dispersion,n_detected
PADI2,False,True,True,0.007479,0.009481,1.267726,1048.0
PADI4,False,True,True,0.017744,0.025505,1.437382,2266.0
AC004824.2,False,False,False,0.000151,0.000151,0.999856,23.0
RCC2,False,False,False,0.067377,0.075594,1.121948,9430.0
ARHGEF10L,False,False,False,0.011864,0.014175,1.194773,1655.0
IGSF21,False,True,True,0.021906,0.047109,2.15046,2087.0
KLHDC7A,False,False,False,3.9e-05,3.9e-05,0.999967,6.0
ALDH4A1,False,False,False,0.004025,0.004113,1.022041,606.0
IFFO2,False,False,False,0.016951,0.01749,1.03178,2523.0
UBR4,False,False,False,0.097274,0.113914,1.171063,13174.0
RP1-43E13.2,False,False,False,0.006424,0.006697,1.042563,956.0
EMC1,False,False,False,0.030408,0.031647,1.040735,4479.0
MRTO4,False,False,False,0.059053,0.062947,1.065941,8494.0
AKR7A3,False,False,False,0.000865,0.001087,1.256719,125.0
AKR7A2,False,False,False,0.175526,0.191414,1.090521,23718.0
PQLC2,False,False,False,0.014303,0.014754,1.031534,2132.0
CAPZB,False,False,False,0.889145,1.310224,1.473579,80865.0
RP5-1056L3.1,False,False,False,2e-05,2e-05,0.999987,3.0
MINOS1-NBL1,False,False,False,0.000767,0.000779,1.016334,116.0
MINOS1,False,False,False,0.441809,0.637391,1.442684,47492.0
NBL1,False,True,True,0.013719,0.046279,3.373307,1499.0
TMCO4,False,False,False,0.026226,0.027413,1.045263,3862.0
OTUD3,False,False,False,0.014381,0.014778,1.027558,2150.0
PLA2G2A,False,True,True,0.000131,0.000262,1.999882,14.0
PLA2G5,False,True,True,0.000197,0.000288,1.46648,25.0
PLA2G2D,False,False,False,0.001744,0.004913,2.817824,219.0
RP3-340N1.2,False,False,False,0.000275,0.000275,0.999731,42.0
PLA2G2C,False,False,False,0.000787,0.000825,1.04922,117.0
UBXN10-AS1,False,False,False,0.007223,0.008128,1.12527,1035.0
UBXN10,False,False,False,0.001481,0.001519,1.025074,223.0
VWA5B1,False,True,True,4.6e-05,4.6e-05,0.999961,7.0
RP4-745E8.2,False,False,False,0.000269,0.000282,1.048519,40.0
CAMK2N1,False,False,False,0.029464,0.040408,1.371435,3973.0
MUL1,False,False,False,0.028337,0.028635,1.010532,4240.0
FAM43B,False,False,False,5.2e-05,5.2e-05,0.999954,8.0
CDA,False,True,True,0.064762,0.098849,1.526341,7659.0
PINK1,False,False,False,0.046861,0.05025,1.072324,6759.0
PINK1-AS,True,False,True,0.002012,0.002021,1.004509,306.0
DDOST,False,False,False,0.266664,0.368369,1.381396,32788.0
KIF17,False,False,False,0.003441,0.003849,1.118471,494.0
SH2D5,False,True,True,2e-05,2e-05,0.999987,3.0
RP5-930J4.2,False,False,False,3.3e-05,3.3e-05,0.999974,5.0
HP1BP3,False,False,False,0.400579,0.516235,1.288721,45454.0
