gene,lineage,rho_main,rho_roots_median,rho_roots_min,rho_roots_max,sign_consistent_frac
CCND2-AS1,LSEC,0.06596218776978374,0.059733592857628914,-0.0001939866347456161,0.0958703798244602,0.95
CCNT2-AS1,LSEC,0.03328127288228375,0.008477005051458113,-0.0347562994812892,0.028055281590521154,0.65
CD27-AS1,LSEC,0.017244348156315457,0.00359434189532097,-0.029189179769552227,0.029611493998615894,0.75
CDKN2B-AS1,LSEC,-0.032192664311848716,0.011995745637114731,-0.043086759839432505,0.03084620318228519,0.65
CELF2-AS1,LSEC,,,,,0.0
CERS6-AS1,LSEC,,,,,0.0
CFLAR-AS1,LSEC,0.050736665135387354,0.022209514335006217,-0.03247972861671181,0.04745330635029269,0.75
CIRBP-AS1,LSEC,-0.008568389740796236,-0.004957425492889252,-0.05275679968975969,0.016524751642964172,0.7
CKMT2-AS1,LSEC,0.020364678195536376,0.01250236427202636,-0.012851947970623862,0.03343763206280416,0.7
CLLU1,LSEC,,,,,0.0
CLRN1-AS1,LSEC,,,,,0.0
CLYBL-AS1,LSEC,,,,,0.0
COL4A2-AS1,LSEC,0.016279940507512847,0.025766372006251544,-0.024848330248309087,0.03341672011414229,0.75
COL4A2-AS2,LSEC,,,,,0.0
COLCA1,LSEC,-0.05434807207019326,-0.02552156087080022,-0.056551372289255164,0.011016501095309448,0.75
CPB2-AS1,LSEC,0.023379463435601155,0.020135715890871157,-0.029377336254158528,0.04027143178174231,0.9
CRNDE,LSEC,0.007212377612552804,-0.011197773468899205,-0.030475298830942944,0.06481098639452125,0.6
CSNK1G2-AS1,LSEC,,,,,0.0
CTC-338M12.4,LSEC,0.03563606856273035,0.0367838023642928,0.007425500967310104,0.06353939603512371,1.0
CYP1B1-AS1,LSEC,0.02142097435199059,0.017503996184769458,-0.05006387719979516,0.03427355896318495,0.65
CYP4A22-AS1,LSEC,-0.04247473200080419,-0.033477922772968155,-0.056184155586078185,-0.015545507101158887,1.0
CYP4F35P,LSEC,-0.0029375540777536293,-0.01904045253807244,-0.047886944225597784,0.001407746540548171,0.95
DAB1-AS1,LSEC,,,,,0.0
DACT3-AS1,LSEC,0.008074068417812425,0.030121941047823068,0.00882932856422197,0.05560623823016406,1.0
DBH-AS1,LSEC,0.005630656115380384,0.024725924680583426,-0.012485367908017374,0.04357638211033515,0.75
DCTN1-AS1,LSEC,,,,,0.0
DDX11-AS1,LSEC,,,,,0.0
DDX39B-AS1,LSEC,-0.023379463435601155,-0.024236302409680784,-0.055082505476547236,0.015545507101158887,0.8
DENND5B-AS1,LSEC,0.00029438552732181445,-0.0002486150099326407,-0.04430269138752427,0.01957095120934315,0.55
DGCR5,LSEC,,,,,0.0
DGUOK-AS1,LSEC,,,,,0.0
DHRS4-AS1,LSEC,,,,,0.0
DIAPH2-AS1,LSEC,,,,,0.0
DICER1-AS1,LSEC,0.09161405878547539,0.07437261634239814,0.001832294813506228,0.11205296790582318,1.0
DIO2-AS1,LSEC,,,,,0.0
DIO3OS,LSEC,0.047194710688207235,0.06242024984900972,0.02906047168772576,0.07614762411415507,1.0
DIRC3,LSEC,0.024041546877265747,0.0489125562061178,0.017986228611347316,0.06556631276947968,1.0
DLEU1,LSEC,0.01907286690257815,0.0426382972803897,0.019610519332302886,0.05440015727850949,1.0
DLEU2L,LSEC,0.02570412401474186,0.002312331620638226,-0.0407432391018998,0.03487209997430272,0.6
DLG1-AS1,LSEC,,,,,0.0
DLG3-AS1,LSEC,,,,,0.0
