gene,is_marker,mean_cp10k,var_cp10k,mean_raw,var_raw,n_detected,is_lncRNA,hvg_standard,hvg_forced
NDRG2,False,0.10591851768823865,0.39186544353901326,0.05314665145943537,0.09151330608664834,6042.0,False,False,False
TPPP2,False,3.694734018314226e-05,5.4800063836717126e-05,2.6219364311512267e-05,2.621884871683395e-05,4.0,False,False,False
AL161668.5,False,7.322056778033416e-05,0.000201660184079664,3.9329046467268404e-05,3.9327757480572615e-05,6.0,False,False,False
RP11-998D10.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RNASE13,False,1.3834616037074182e-05,2.9199274031686082e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
RNASE7,False,9.126762845849801e-06,1.270782908251893e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
RNASE8,False,0.0,0.0,0.0,0.0,0.0,False,False,False
ARHGEF40,False,0.09771027071493651,0.8409859130067969,0.03284630864124699,0.04943960426459911,4109.0,False,True,True
ZNF219,False,0.020994150164854255,0.0813317971425251,0.007184105821354361,0.007355407255075419,1079.0,False,False,False
RP11-998D10.7,False,1.1025805006587615e-05,1.8546349890861962e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
TMEM253,False,0.0002215590883527029,0.000523522251066898,0.00011143229832392714,0.00011142061151121864,17.0,False,False,False
RP11-998D10.4,False,8.430293650325448e-05,0.0004085857398200006,1.9664523233634202e-05,1.9664265436295045e-05,3.0,False,True,True
OR5AU1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
HNRNPC,False,2.492174164749376,10.934736262423295,0.8144586684495835,1.1174246323964256,77207.0,False,False,False
RPGRIP1,False,0.0036413437633964567,0.02296430240023354,0.001468284401444687,0.0015710162973693704,217.0,False,True,True
SUPT16H,False,0.5368603218426969,2.2177793723725783,0.17999593599853173,0.2079819583206408,23540.0,False,False,False
RP11-524O1.4,False,0.0006985652193577566,0.002394066817342406,0.00026874848419300077,0.00026867801958696427,41.0,False,False,False
CHD8,False,0.2706656537470749,1.2174169247635882,0.08895574826788324,0.10040628180925652,12273.0,False,False,False
RAB2B,False,0.11535764550108484,0.47856874337584304,0.03737570382606074,0.038968023550281214,5484.0,False,False,False
TOX4,False,0.6597553739864577,2.934512070416377,0.2022692859811614,0.21504197992365737,27193.0,False,False,False
METTL3,False,0.13321052333851166,0.5505631750835323,0.04245570566141624,0.04327543881298265,6281.0,False,False,False
SALL2,False,0.002220031136806088,0.008882945831312446,0.000694813154255075,0.0006943349401909369,106.0,False,False,False
AE000658.22,False,0.0,0.0,0.0,0.0,0.0,False,False,False
OR10G3,False,0.0,0.0,0.0,0.0,0.0,False,False,False
OR10G2,False,5.450277727960985e-05,0.0002740746804851,1.3109682155756133e-05,1.3109596223309748e-05,2.0,False,False,False
OR4E2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
AE000658.31,False,0.00017643122608302362,0.0007835389114099221,4.588388754514647e-05,4.5882082963772366e-05,7.0,False,False,False
AE000661.50,False,2.3318538165562176e-05,8.295460038411371e-05,6.554841077878067e-06,6.554841077878067e-06,1.0,False,False,False
AE000662.93,False,0.0017786823668220165,0.007910645239314501,0.0005178324451523673,0.000517567687285052,79.0,False,False,False
AE000662.92,False,0.017415704887944992,0.07736766338996784,0.005106221199667014,0.0055259131195051015,749.0,False,False,False
DAD1,False,1.9397551891399394,8.175332687140493,0.6292123047476714,0.8498581027718082,66123.0,False,False,False
CTD-2555K7.4,False,0.00045806372845915355,0.0022471323470918065,0.00011143229832392714,0.00011142061151121864,17.0,False,True,True
ABHD4,False,0.03579432570349832,0.15358794261816464,0.011477526727364495,0.01183092889720883,1717.0,False,False,False
OR6J1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
OXA1L,False,0.5704865916792847,2.237802598269396,0.20940095307389273,0.2665902617568493,25970.0,False,False,False
SLC7A7,False,0.6006115719819872,3.031395200958578,0.26721465138077727,0.6067772750154777,23023.0,False,False,False
AL135998.1,False,0.0,0.0,0.0,0.0,0.0,False,False,False
MRPL52,False,0.7852940042868661,3.151755709487708,0.2731730019205684,0.33431557273273316,33687.0,False,False,False
MMP14,False,0.016805635577055434,0.055915649104773056,0.008606506335253901,0.013265116592914248,1106.0,False,False,False
LRP10,False,0.6834796806481427,4.1969112718609445,0.1966780065417314,0.2174758217446174,26110.0,False,True,True
