gene,Bcell,Cholangiocyte,Hepatocyte,Kupffer,LSEC,NK,Tcell
HULC,0.00043233895373973193,0.0005382131324004305,0.0,0.001866199174348244,0.007563025210084034,0.0003784629358631478,0.00021197149798627077
IDI2-AS1,0.00108084738434933,0.0008073196986006459,0.00335345405767941,0.0014703387434258893,0.0058823529411764705,0.002422162789524146,0.0014348839863686021
KCNQ1OT1,0.10830090791180286,0.0740043057050592,0.004359490274983233,0.054232879036362605,0.2184873949579832,0.03660998132916183,0.04030719561708164
LINC00261,0.00043233895373973193,0.00013455328310010763,0.0,0.0005655149013176497,0.03949579831932773,2.5230862390876522e-05,0.000130443998760782
MALAT1,0.9995676610462603,0.9997308934337998,0.9979879275653923,0.9973138042187412,0.9983193277310924,0.9999495382752183,0.9999021670009294
MEG3,0.00216169476869866,0.0527448869752422,0.0013413816230717639,0.003845501328960018,0.6210084033613446,0.00058030983499016,0.0004076374961274438
MIAT,0.05058365758754864,0.001883745963401507,0.011066398390342052,0.004495843465475316,0.05630252100840336,0.11866074582429227,0.09401751210683364
NEAT1,0.7343277129269347,0.96245963401507,0.9808853118712274,0.9700842617202964,0.9638655462184874,0.8431144976535297,0.7293123970715323
