gene,cell_type,typeSample,n_cells,detection_rate,mean_cp10k,mean_cp10k_in_detected,pseudobulk_cp10k,n_donors
LINC00996,cDC2s,citeSeq,1536,0.000651,0.001925,2.95683,0.001203,6
LINC00996,cDC2s,scRnaSeq,1093,0.0,0.0,,0.0,11
LINC00996,pDCs,citeSeq,506,0.460474,2.553802,5.546025,2.689476,5
LINC00996,pDCs,scRnaSeq,708,0.55226,2.195313,3.975145,2.232833,10
MALAT1,B cells,citeSeq,1022,1.0,649.123712,649.123712,629.634412,6
MALAT1,B cells,scRnaSeq,1328,1.0,611.150257,611.150257,578.38546,11
MALAT1,Basophils,citeSeq,171,1.0,704.959317,704.959317,655.445,4
MALAT1,Basophils,scRnaSeq,218,1.0,1078.683644,1078.683644,949.960002,9
MALAT1,Cholangiocytes,citeSeq,13,1.0,620.449269,620.449269,514.963078,2
MALAT1,Cholangiocytes,scRnaSeq,142,1.0,354.913951,354.913951,369.307086,6
MALAT1,Circulating NK/NKT,citeSeq,4160,1.0,689.894187,689.894187,679.424862,6
MALAT1,Circulating NK/NKT,scRnaSeq,8407,1.0,730.067136,730.067136,708.424894,11
MALAT1,Endothelial cells,citeSeq,93,1.0,287.303868,287.303868,296.400916,3
MALAT1,Endothelial cells,nucSeq,2,1.0,140.877833,140.877833,137.769994,1
MALAT1,Endothelial cells,scRnaSeq,834,0.997602,480.131737,481.2859,448.690989,9
MALAT1,Fibroblasts,citeSeq,2,1.0,280.332696,280.332696,255.406096,1
MALAT1,Fibroblasts,nucSeq,1,1.0,337.167791,337.167791,337.167791,1
MALAT1,Fibroblasts,scRnaSeq,127,1.0,266.684153,266.684153,213.161973,3
MALAT1,Hepatocytes,nucSeq,13,0.923077,128.693076,139.417499,151.381295,2
MALAT1,Hepatocytes,scRnaSeq,11,0.909091,1346.255514,1480.881065,880.438875,3
MALAT1,Macrophages,citeSeq,2287,0.988631,254.196867,257.119962,252.182077,6
MALAT1,Macrophages,nucSeq,1,1.0,65.57377,65.57377,65.57377,1
MALAT1,Macrophages,scRnaSeq,4290,0.986014,281.094678,285.081837,257.742019,11
MALAT1,Mig.cDCs,citeSeq,32,1.0,609.998992,609.998992,610.814646,4
MALAT1,Mig.cDCs,scRnaSeq,46,1.0,932.819139,932.819139,751.744212,8
MALAT1,Mono+mono derived cells,citeSeq,13631,0.999413,270.011664,270.170227,262.448571,6
MALAT1,Mono+mono derived cells,scRnaSeq,16008,0.999938,316.274248,316.294007,309.925924,11
MALAT1,Neutrophils,citeSeq,1172,1.0,241.733433,241.733433,217.725249,4
MALAT1,Neutrophils,scRnaSeq,4166,0.99832,290.719537,291.208846,282.672519,9
MALAT1,Plasma cells,citeSeq,519,1.0,603.459051,603.459051,530.854129,5
MALAT1,Plasma cells,scRnaSeq,604,0.996689,573.581883,575.487471,492.127421,11
MALAT1,Resident NK,citeSeq,2669,0.999625,577.773877,577.990434,569.036342,6
MALAT1,Resident NK,scRnaSeq,8224,0.999878,612.643743,612.718246,581.860294,11
MALAT1,T cells,citeSeq,45178,0.999978,650.701719,650.716122,640.65748,6
MALAT1,T cells,scRnaSeq,32165,0.999938,688.758142,688.800972,663.417365,11
MALAT1,cDC1s,citeSeq,589,1.0,273.524619,273.524619,268.571575,5
MALAT1,cDC1s,scRnaSeq,591,0.996616,378.738952,380.024992,315.017444,11
MALAT1,cDC2s,citeSeq,1536,1.0,248.421685,248.421685,243.912915,6
MALAT1,cDC2s,scRnaSeq,1093,1.0,292.99088,292.99088,274.086464,11
MALAT1,pDCs,citeSeq,506,1.0,442.607102,442.607102,429.210354,5
MALAT1,pDCs,scRnaSeq,708,1.0,493.505005,493.505005,473.37845,10
NEAT1,B cells,citeSeq,1022,0.651663,7.613052,11.682492,8.339243,6
NEAT1,B cells,scRnaSeq,1328,0.60994,5.19913,8.524005,5.30211,11
NEAT1,Basophils,citeSeq,171,0.725146,11.083132,15.283997,12.289007,4
NEAT1,Basophils,scRnaSeq,218,0.756881,11.912192,15.738533,13.595919,9
NEAT1,Cholangiocytes,citeSeq,13,0.846154,14.13685,16.707186,17.732219,2
NEAT1,Cholangiocytes,scRnaSeq,142,0.852113,7.535752,8.843609,7.010258,6
NEAT1,Circulating NK/NKT,citeSeq,4160,0.866827,17.947318,20.704615,17.962657,6
NEAT1,Circulating NK/NKT,scRnaSeq,8407,0.904722,13.983651,15.456292,13.85214,11
NEAT1,Endothelial cells,citeSeq,93,0.956989,23.773317,24.841781,23.528564,3
NEAT1,Endothelial cells,nucSeq,2,1.0,99.018461,99.018461,79.392878,1
NEAT1,Endothelial cells,scRnaSeq,834,0.982014,38.075692,38.773049,37.822446,9
NEAT1,Fibroblasts,citeSeq,2,1.0,10.918045,10.918045,10.216244,1
NEAT1,Fibroblasts,nucSeq,1,1.0,55.533518,55.533518,55.533518,1
NEAT1,Fibroblasts,scRnaSeq,127,0.937008,10.328406,11.022753,9.346306,3
NEAT1,Hepatocytes,nucSeq,13,0.923077,39.586878,42.885785,61.841885,2
NEAT1,Hepatocytes,scRnaSeq,11,0.909091,43.024064,47.32647,37.648577,3
NEAT1,Macrophages,citeSeq,2287,0.908614,16.222366,17.853971,16.848994,6
NEAT1,Macrophages,nucSeq,1,1.0,40.983607,40.983607,40.983607,1
NEAT1,Macrophages,scRnaSeq,4290,0.918415,16.328752,17.779276,15.728929,11
NEAT1,Mig.cDCs,citeSeq,32,0.9375,15.712221,16.759703,18.322589,4
NEAT1,Mig.cDCs,scRnaSeq,46,1.0,18.816252,18.816252,15.682975,8
NEAT1,Mono+mono derived cells,citeSeq,13631,0.971976,25.172977,25.898773,26.736076,6
NEAT1,Mono+mono derived cells,scRnaSeq,16008,0.993253,31.49241,31.706321,31.887698,11
NEAT1,Neutrophils,citeSeq,1172,0.935154,23.257017,24.86973,21.972818,4
NEAT1,Neutrophils,scRnaSeq,4166,0.982957,103.45102,105.244676,64.838043,9
NEAT1,Plasma cells,citeSeq,519,0.953757,19.458097,20.40152,17.993144,5
NEAT1,Plasma cells,scRnaSeq,604,0.960265,17.41389,18.134465,16.097567,11
NEAT1,Resident NK,citeSeq,2669,0.753091,10.469291,13.90176,10.80715,6
NEAT1,Resident NK,scRnaSeq,8224,0.771401,7.441874,9.647221,7.60976,11
NEAT1,T cells,citeSeq,45178,0.717296,10.005836,13.949382,10.302656,6
NEAT1,T cells,scRnaSeq,32165,0.809513,8.90472,11.00009,8.957077,11
NEAT1,cDC1s,citeSeq,589,0.977929,13.675395,13.984041,14.523986,5
NEAT1,cDC1s,scRnaSeq,591,0.976311,13.140088,13.458912,11.539545,11
NEAT1,cDC2s,citeSeq,1536,0.966146,14.162478,14.658737,14.985573,6
NEAT1,cDC2s,scRnaSeq,1093,0.980787,13.395423,13.657833,13.113681,11
NEAT1,pDCs,citeSeq,506,0.693676,6.198556,8.935809,6.012446,5
NEAT1,pDCs,scRnaSeq,708,0.766949,5.764158,7.515697,5.750694,10
