gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,label_set,lineage_name,n_cells
CACNA1C-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CACNA1C-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CACTIN-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CAHM,-0.025136822784692064,0.1699684518498925,1.0,15.350272,False,lineage_leiden,Hepatocyte,2982
CASC11,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CASC15,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CASC18,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CASC19,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CASC2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CASC20,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CASC8,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CASK-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CCDC140,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CCDC144NL,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CCDC148-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CCDC183-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CCDC26,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CCND2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CCNT2-AS1,-3.854165498995637e-05,0.9983214209492022,1.0,13.237612,False,lineage_leiden,Hepatocyte,2982
CD27-AS1,0.0001944719687737636,0.9915304445003853,1.0,13.253683,False,lineage_leiden,Hepatocyte,2982
CDKN2B-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CELF2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CERS6-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CFLAR-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CIRBP-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CKMT2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CLLU1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CLRN1-AS1,-0.0024787227096276006,0.8923740658178094,1.0,13.089368,False,lineage_leiden,Hepatocyte,2982
CLYBL-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
COL4A2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
COL4A2-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
COLCA1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CPB2-AS1,-0.030734033940404026,0.09334566001199862,0.9851615302187684,13.178712,False,lineage_leiden,Hepatocyte,2982
CRNDE,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CSNK1G2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CTC-338M12.4,0.0050531900732751515,0.7826793209183784,1.0,13.128757,False,lineage_leiden,Hepatocyte,2982
CYP1B1-AS1,-0.02952126832281799,0.10701337076658884,0.9851615302187684,12.94635,False,lineage_leiden,Hepatocyte,2982
CYP4A22-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
CYP4F35P,0.0014759026721755332,0.935790373964695,1.0,13.05264,False,lineage_leiden,Hepatocyte,2982
DAB1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DACT3-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DBH-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DCTN1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DDX11-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DDX39B-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DENND5B-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DGCR5,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DGUOK-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DHRS4-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DIAPH2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DICER1-AS1,0.018566665967338376,0.3107998903456984,1.0,14.792261,False,lineage_leiden,Hepatocyte,2982
DIO2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DIO3OS,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
DIRC3,0.00202413018397716,0.9120232798118613,1.0,13.256128,False,lineage_leiden,Hepatocyte,2982
DLEU1,0.05079226817055366,0.005532466093957101,0.2652510132824988,14.125611,False,lineage_leiden,Hepatocyte,2982
