gene,cell_type,typeSample,n_cells,detection_rate,mean_cp10k,mean_cp10k_in_detected,pseudobulk_cp10k,n_donors
KCNQ1OT1,Mono+mono derived cells,citeSeq,13631,0.034993764213924146,0.11604421208371532,3.3161397377633617,0.11548602410002262,6
KCNQ1OT1,Mono+mono derived cells,scRnaSeq,16008,0.0712768615692154,0.1624746264960493,2.2794862585002256,0.18147690151785004,11
KCNQ1OT1,Neutrophils,citeSeq,1172,0.006825938566552901,0.03411126833338548,4.997300810840972,0.03394796117032201,4
KCNQ1OT1,Neutrophils,scRnaSeq,4166,0.008401344215074411,0.060462720595152744,7.196791257125894,0.06691400913327264,9
KCNQ1OT1,Plasma cells,citeSeq,519,0.13680154142581888,0.51656884321369,3.7760454877169733,0.44680121646850823,5
KCNQ1OT1,Plasma cells,scRnaSeq,604,0.3029801324503311,0.7892714271217637,2.6050270053636355,0.7446750489807391,11
KCNQ1OT1,Resident NK,citeSeq,2669,0.021356313225927313,0.09365754688760976,4.3854735551408845,0.11125262986441259,6
KCNQ1OT1,Resident NK,scRnaSeq,8224,0.04474708171206226,0.16615106881940914,3.7131151901381,0.17234712082943285,11
KCNQ1OT1,T cells,citeSeq,45178,0.02842091283368011,0.1450200730123251,5.102583223170424,0.14760311500861797,6
KCNQ1OT1,T cells,scRnaSeq,32165,0.05341209389087517,0.19182099501495403,3.5913401074831177,0.18893475359134726,11
KCNQ1OT1,cDC1s,citeSeq,589,0.07640067911714771,0.12042948759492815,1.5762881820758372,0.13080225216798563,5
KCNQ1OT1,cDC1s,scRnaSeq,591,0.12521150592216582,0.23110167246929383,1.845690384180441,0.1483929285184881,11
KCNQ1OT1,cDC2s,citeSeq,1536,0.06705729166666667,0.13025427402050788,1.94243266888835,0.13595903518174654,6
KCNQ1OT1,cDC2s,scRnaSeq,1093,0.10521500457456541,0.14487308399355206,1.3769241809126296,0.14252909651207213,11
KCNQ1OT1,pDCs,citeSeq,506,0.02766798418972332,0.09871081315737457,3.567690818402252,0.09790382158929001,5
KCNQ1OT1,pDCs,scRnaSeq,708,0.05367231638418079,0.14374210648877705,2.678142405106689,0.14561953447734083,10
ZFAS1,B cells,citeSeq,1022,0.598825831702544,4.515360301138649,7.540356581313235,4.501228910055086,6
ZFAS1,B cells,scRnaSeq,1328,0.7522590361445783,4.596316000254151,6.1100176660035155,4.835173380131153,11
ZFAS1,Basophils,citeSeq,171,0.4152046783625731,3.5138100117184163,8.462838197237312,3.3771318144578766,4
ZFAS1,Basophils,scRnaSeq,218,0.40825688073394495,2.355888481662253,5.770603247217654,2.8419856006062907,9
ZFAS1,Cholangiocytes,citeSeq,13,0.8461538461538461,4.731094957367097,5.591294040524751,3.8865137971239796,2
ZFAS1,Cholangiocytes,scRnaSeq,142,0.7183098591549296,3.181542936472985,4.429206833129057,3.315963470990327,6
ZFAS1,Circulating NK/NKT,citeSeq,4160,0.3175480769230769,1.9758209127459798,6.222115819094076,1.9800625949309474,6
ZFAS1,Circulating NK/NKT,scRnaSeq,8407,0.3800404424884025,1.5888172908875853,4.180653197024078,1.5882132524237866,11
ZFAS1,Endothelial cells,citeSeq,93,0.3118279569892473,1.4659518168895755,4.7011558265769136,1.2780139008588909,3
ZFAS1,Endothelial cells,nucSeq,2,0.0,0.0,,0.0,1
ZFAS1,Endothelial cells,scRnaSeq,834,0.24580335731414868,0.785397976911174,3.195228842653264,0.8252479359584914,9
ZFAS1,Fibroblasts,citeSeq,2,0.5,4.562043795620438,9.124087591240876,3.4054146092286732,1
ZFAS1,Fibroblasts,nucSeq,1,0.0,0.0,,0.0,1
ZFAS1,Fibroblasts,scRnaSeq,127,0.8582677165354331,4.121571621736612,4.802198128078437,4.142502071251036,3
ZFAS1,Hepatocytes,nucSeq,13,0.0,0.0,,0.0,2
ZFAS1,Hepatocytes,scRnaSeq,11,0.0,0.0,,0.0,3
ZFAS1,Macrophages,citeSeq,2287,0.5435067774376913,2.6508345876968615,4.877279728127694,2.6518593618656454,6
ZFAS1,Macrophages,nucSeq,1,0.0,0.0,,0.0,1
ZFAS1,Macrophages,scRnaSeq,4290,0.6326340326340326,2.203336266857652,3.4827975625716014,2.173515519668112,11
ZFAS1,Mig.cDCs,citeSeq,32,0.90625,7.843430052436585,8.654819368205887,7.46475832073784,4
ZFAS1,Mig.cDCs,scRnaSeq,46,0.9565217391304348,6.353861596881145,6.642673487648469,6.621123721538905,8
ZFAS1,Mono+mono derived cells,citeSeq,13631,0.7076516763260216,4.425675317449173,6.254030712435172,4.173206363526185,6
ZFAS1,Mono+mono derived cells,scRnaSeq,16008,0.8144052973513244,4.295791113050049,5.274758313853278,4.0759524265228375,11
ZFAS1,Neutrophils,citeSeq,1172,0.6151877133105802,4.994674908941753,8.118944512177164,5.138872622157495,4
ZFAS1,Neutrophils,scRnaSeq,4166,0.3262121939510322,2.949148396061234,9.040582941862475,4.19926208536367,9
ZFAS1,Plasma cells,citeSeq,519,0.4142581888246628,1.3305250553230723,3.2118255986636024,1.3571064986193007,5
ZFAS1,Plasma cells,scRnaSeq,604,0.49834437086092714,1.168005313370407,2.3437714593877934,1.1117683829853289,11
ZFAS1,Resident NK,citeSeq,2669,0.3109778943424504,1.8794625305328019,6.0437174626410215,2.03036049502553,6
