donor,condition,cell_type,gene,n_cells,n_detected,detection_rate,mean_count
H22,Lean,Resident NK,ZFAS1,518,279,0.5386100386100386,0.8918918918918919
H22,Lean,Resident NK,LINC00996,518,101,0.19498069498069498,0.2335907335907336
H22,Lean,Resident NK,NEAT1,518,436,0.8416988416988417,2.988416988416988
H22,Lean,Resident NK,MALAT1,518,518,1.0,199.65830115830116
H22,Lean,Resident NK,IDI2-AS1,518,1,0.0019305019305019305,0.0019305019305019305
H22,Lean,Resident NK,MIAT,518,2,0.003861003861003861,0.003861003861003861
H22,Lean,Resident NK,HULC,518,1,0.0019305019305019305,0.0019305019305019305
H22,Lean,Resident NK,LINC00261,518,0,0.0,0.0
H22,Lean,T cells,KCNQ1OT1,3487,314,0.09004875250932033,0.11901347863492974
H22,Lean,T cells,MEG3,3487,2,0.0005735589331803843,0.0005735589331803843
H22,Lean,T cells,ZFAS1,3487,2538,0.7278462862059076,1.5368511614568396
H22,Lean,T cells,LINC00996,3487,36,0.010324060797246917,0.011184399197017494
H22,Lean,T cells,NEAT1,3487,2829,0.8112991109836536,2.9506739317464867
H22,Lean,T cells,MALAT1,3487,3486,0.9997132205334098,269.7218239174075
H22,Lean,T cells,IDI2-AS1,3487,11,0.0031545741324921135,0.0031545741324921135
H22,Lean,T cells,MIAT,3487,336,0.09635790077430456,0.11098365357040436
H22,Lean,T cells,HULC,3487,2,0.0005735589331803843,0.0005735589331803843
H22,Lean,T cells,LINC00261,3487,0,0.0,0.0
H22,Lean,cDC1s,KCNQ1OT1,48,9,0.1875,0.2916666666666667
H22,Lean,cDC1s,MEG3,48,0,0.0,0.0
H22,Lean,cDC1s,ZFAS1,48,43,0.8958333333333334,4.083333333333333
H22,Lean,cDC1s,LINC00996,48,0,0.0,0.0
H22,Lean,cDC1s,NEAT1,48,48,1.0,21.9375
H22,Lean,cDC1s,MALAT1,48,48,1.0,478.3333333333333
H22,Lean,cDC1s,IDI2-AS1,48,0,0.0,0.0
H22,Lean,cDC1s,MIAT,48,0,0.0,0.0
H22,Lean,cDC1s,HULC,48,0,0.0,0.0
H22,Lean,cDC1s,LINC00261,48,0,0.0,0.0
H22,Lean,cDC2s,KCNQ1OT1,85,21,0.24705882352941178,0.36470588235294116
H22,Lean,cDC2s,MEG3,85,0,0.0,0.0
H22,Lean,cDC2s,ZFAS1,85,80,0.9411764705882353,3.988235294117647
H22,Lean,cDC2s,LINC00996,85,0,0.0,0.0
H22,Lean,cDC2s,NEAT1,85,85,1.0,21.48235294117647
H22,Lean,cDC2s,MALAT1,85,85,1.0,344.29411764705884
H22,Lean,cDC2s,IDI2-AS1,85,1,0.011764705882352941,0.011764705882352941
H22,Lean,cDC2s,MIAT,85,0,0.0,0.0
H22,Lean,cDC2s,HULC,85,1,0.011764705882352941,0.011764705882352941
H22,Lean,cDC2s,LINC00261,85,0,0.0,0.0
H22,Lean,pDCs,KCNQ1OT1,19,5,0.2631578947368421,1.0526315789473684
H22,Lean,pDCs,MEG3,19,0,0.0,0.0
H22,Lean,pDCs,ZFAS1,19,17,0.8947368421052632,1.9473684210526316
H22,Lean,pDCs,LINC00996,19,15,0.7894736842105263,2.0526315789473686
H22,Lean,pDCs,NEAT1,19,19,1.0,10.105263157894736
H22,Lean,pDCs,MALAT1,19,19,1.0,465.3157894736842
H22,Lean,pDCs,IDI2-AS1,19,0,0.0,0.0
H22,Lean,pDCs,MIAT,19,0,0.0,0.0
H22,Lean,pDCs,HULC,19,0,0.0,0.0
H22,Lean,pDCs,LINC00261,19,0,0.0,0.0
H23,Lean,B cells,KCNQ1OT1,136,22,0.16176470588235295,0.21323529411764705
H23,Lean,B cells,MEG3,136,0,0.0,0.0
H23,Lean,B cells,ZFAS1,136,76,0.5588235294117647,1.0147058823529411
H23,Lean,B cells,LINC00996,136,5,0.03676470588235294,0.051470588235294115
H23,Lean,B cells,NEAT1,136,68,0.5,1.3970588235294117
H23,Lean,B cells,MALAT1,136,136,1.0,171.1985294117647
H23,Lean,B cells,IDI2-AS1,136,0,0.0,0.0
H23,Lean,B cells,MIAT,136,5,0.03676470588235294,0.08088235294117647
H23,Lean,B cells,HULC,136,0,0.0,0.0
H23,Lean,B cells,LINC00261,136,0,0.0,0.0
H23,Lean,Basophils,KCNQ1OT1,83,20,0.24096385542168675,0.3132530120481928
H23,Lean,Basophils,MEG3,83,0,0.0,0.0
H23,Lean,Basophils,ZFAS1,83,14,0.1686746987951807,0.2289156626506024
H23,Lean,Basophils,LINC00996,83,2,0.024096385542168676,0.024096385542168676
H23,Lean,Basophils,NEAT1,83,54,0.6506024096385542,2.1927710843373496
H23,Lean,Basophils,MALAT1,83,83,1.0,274.27710843373495
H23,Lean,Basophils,IDI2-AS1,83,0,0.0,0.0
H23,Lean,Basophils,MIAT,83,1,0.012048192771084338,0.012048192771084338
H23,Lean,Basophils,HULC,83,0,0.0,0.0
H23,Lean,Basophils,LINC00261,83,0,0.0,0.0
H23,Lean,Cholangiocytes,KCNQ1OT1,1,1,1.0,3.0
H23,Lean,Cholangiocytes,MEG3,1,0,0.0,0.0
H23,Lean,Cholangiocytes,ZFAS1,1,1,1.0,2.0
H23,Lean,Cholangiocytes,LINC00996,1,0,0.0,0.0
H23,Lean,Cholangiocytes,NEAT1,1,1,1.0,1.0
H23,Lean,Cholangiocytes,MALAT1,1,1,1.0,168.0
H23,Lean,Cholangiocytes,IDI2-AS1,1,0,0.0,0.0
H23,Lean,Cholangiocytes,MIAT,1,0,0.0,0.0
H23,Lean,Cholangiocytes,HULC,1,0,0.0,0.0
H23,Lean,Cholangiocytes,LINC00261,1,0,0.0,0.0
H23,Lean,Circulating NK/NKT,KCNQ1OT1,1023,41,0.04007820136852395,0.0469208211143695
H23,Lean,Circulating NK/NKT,MEG3,1023,1,0.0009775171065493646,0.0009775171065493646
H23,Lean,Circulating NK/NKT,ZFAS1,1023,246,0.2404692082111437,0.29716520039100686
H23,Lean,Circulating NK/NKT,LINC00996,1023,42,0.04105571847507331,0.044965786901270774
H23,Lean,Circulating NK/NKT,NEAT1,1023,948,0.9266862170087976,4.581622678396872
H23,Lean,Circulating NK/NKT,MALAT1,1023,1023,1.0,173.55327468230695
H23,Lean,Circulating NK/NKT,IDI2-AS1,1023,4,0.0039100684261974585,0.0039100684261974585
H23,Lean,Circulating NK/NKT,MIAT,1023,169,0.1652003910068426,0.2072336265884653
H23,Lean,Circulating NK/NKT,HULC,1023,2,0.0019550342130987292,0.0019550342130987292
H23,Lean,Circulating NK/NKT,LINC00261,1023,0,0.0,0.0
H23,Lean,Endothelial cells,KCNQ1OT1,35,7,0.2,0.37142857142857144
H23,Lean,Endothelial cells,MEG3,35,34,0.9714285714285714,4.057142857142857
H23,Lean,Endothelial cells,ZFAS1,35,4,0.11428571428571428,0.17142857142857143
H23,Lean,Endothelial cells,LINC00996,35,0,0.0,0.0
H23,Lean,Endothelial cells,NEAT1,35,35,1.0,25.97142857142857
H23,Lean,Endothelial cells,MALAT1,35,35,1.0,170.31428571428572
H23,Lean,Endothelial cells,IDI2-AS1,35,0,0.0,0.0
H23,Lean,Endothelial cells,MIAT,35,1,0.02857142857142857,0.02857142857142857
H23,Lean,Endothelial cells,HULC,35,0,0.0,0.0
H23,Lean,Endothelial cells,LINC00261,35,0,0.0,0.0
H23,Lean,Hepatocytes,KCNQ1OT1,1,0,0.0,0.0
H23,Lean,Hepatocytes,MEG3,1,0,0.0,0.0
H23,Lean,Hepatocytes,ZFAS1,1,0,0.0,0.0
H23,Lean,Hepatocytes,LINC00996,1,0,0.0,0.0
H23,Lean,Hepatocytes,NEAT1,1,0,0.0,0.0
H23,Lean,Hepatocytes,MALAT1,1,1,1.0,195.0
H23,Lean,Hepatocytes,IDI2-AS1,1,0,0.0,0.0
H23,Lean,Hepatocytes,MIAT,1,0,0.0,0.0
H23,Lean,Hepatocytes,HULC,1,0,0.0,0.0
H23,Lean,Hepatocytes,LINC00261,1,0,0.0,0.0
H23,Lean,Macrophages,KCNQ1OT1,753,56,0.07436918990703852,0.1102257636122178
H23,Lean,Macrophages,MEG3,753,3,0.00398406374501992,0.00796812749003984
H23,Lean,Macrophages,ZFAS1,753,294,0.3904382470119522,0.548472775564409
H23,Lean,Macrophages,LINC00996,753,7,0.009296148738379814,0.010624169986719787
H23,Lean,Macrophages,NEAT1,753,631,0.8379814077025233,8.730411686586985
H23,Lean,Macrophages,MALAT1,753,728,0.9667994687915007,151.0531208499336
H23,Lean,Macrophages,IDI2-AS1,753,0,0.0,0.0
H23,Lean,Macrophages,MIAT,753,5,0.006640106241699867,0.006640106241699867
H23,Lean,Macrophages,HULC,753,5,0.006640106241699867,0.006640106241699867
H23,Lean,Macrophages,LINC00261,753,2,0.0026560424966799467,0.0026560424966799467
H23,Lean,Mig.cDCs,KCNQ1OT1,1,1,1.0,2.0
H23,Lean,Mig.cDCs,MEG3,1,0,0.0,0.0
H23,Lean,Mig.cDCs,ZFAS1,1,1,1.0,1.0
H23,Lean,Mig.cDCs,LINC00996,1,0,0.0,0.0
H23,Lean,Mig.cDCs,NEAT1,1,1,1.0,23.0
H23,Lean,Mig.cDCs,MALAT1,1,1,1.0,1392.0
H23,Lean,Mig.cDCs,IDI2-AS1,1,0,0.0,0.0
H23,Lean,Mig.cDCs,MIAT,1,0,0.0,0.0
H23,Lean,Mig.cDCs,HULC,1,0,0.0,0.0
H23,Lean,Mig.cDCs,LINC00261,1,0,0.0,0.0
H23,Lean,Mono+mono derived cells,KCNQ1OT1,729,96,0.13168724279835392,0.1906721536351166
H23,Lean,Mono+mono derived cells,MEG3,729,12,0.01646090534979424,0.07681755829903979
H23,Lean,Mono+mono derived cells,ZFAS1,729,432,0.5925925925925926,1.0438957475994513
H23,Lean,Mono+mono derived cells,LINC00996,729,4,0.0054869684499314125,0.0054869684499314125
H23,Lean,Mono+mono derived cells,NEAT1,729,729,1.0,31.064471879286693
H23,Lean,Mono+mono derived cells,MALAT1,729,729,1.0,119.41152263374485
H23,Lean,Mono+mono derived cells,IDI2-AS1,729,0,0.0,0.0
H23,Lean,Mono+mono derived cells,MIAT,729,11,0.015089163237311385,0.015089163237311385
H23,Lean,Mono+mono derived cells,HULC,729,1,0.0013717421124828531,0.0013717421124828531
H23,Lean,Mono+mono derived cells,LINC00261,729,0,0.0,0.0
H23,Lean,Neutrophils,KCNQ1OT1,19,0,0.0,0.0
H23,Lean,Neutrophils,MEG3,19,0,0.0,0.0
H23,Lean,Neutrophils,ZFAS1,19,3,0.15789473684210525,0.15789473684210525
H23,Lean,Neutrophils,LINC00996,19,0,0.0,0.0
H23,Lean,Neutrophils,NEAT1,19,18,0.9473684210526315,4.368421052631579
H23,Lean,Neutrophils,MALAT1,19,19,1.0,94.94736842105263
H23,Lean,Neutrophils,IDI2-AS1,19,0,0.0,0.0
H23,Lean,Neutrophils,MIAT,19,2,0.10526315789473684,0.15789473684210525
H23,Lean,Neutrophils,HULC,19,0,0.0,0.0
H23,Lean,Neutrophils,LINC00261,19,0,0.0,0.0
H23,Lean,Plasma cells,KCNQ1OT1,15,3,0.2,0.2
H23,Lean,Plasma cells,MEG3,15,0,0.0,0.0
H23,Lean,Plasma cells,ZFAS1,15,4,0.26666666666666666,0.3333333333333333
H23,Lean,Plasma cells,LINC00996,15,2,0.13333333333333333,0.2
H23,Lean,Plasma cells,NEAT1,15,15,1.0,10.2
H23,Lean,Plasma cells,MALAT1,15,15,1.0,300.8
H23,Lean,Plasma cells,IDI2-AS1,15,0,0.0,0.0
H23,Lean,Plasma cells,MIAT,15,2,0.13333333333333333,0.2
H23,Lean,Plasma cells,HULC,15,0,0.0,0.0
H23,Lean,Plasma cells,LINC00261,15,0,0.0,0.0
H23,Lean,Resident NK,KCNQ1OT1,975,33,0.033846153846153845,0.04512820512820513
H23,Lean,Resident NK,MEG3,975,0,0.0,0.0
H23,Lean,Resident NK,ZFAS1,975,290,0.29743589743589743,0.3682051282051282
H23,Lean,Resident NK,LINC00996,975,207,0.2123076923076923,0.25333333333333335
H23,Lean,Resident NK,NEAT1,975,816,0.8369230769230769,2.7056410256410257
H23,Lean,Resident NK,MALAT1,975,975,1.0,145.68820512820514
H23,Lean,Resident NK,IDI2-AS1,975,6,0.006153846153846154,0.0071794871794871795
H23,Lean,Resident NK,MIAT,975,21,0.021538461538461538,0.02358974358974359
H23,Lean,Resident NK,HULC,975,0,0.0,0.0
H23,Lean,Resident NK,LINC00261,975,0,0.0,0.0
H23,Lean,T cells,KCNQ1OT1,7030,357,0.050782361308677096,0.06230440967283073
H23,Lean,T cells,MEG3,7030,2,0.0002844950213371266,0.0002844950213371266
H23,Lean,T cells,ZFAS1,7030,2719,0.38677098150782363,0.5401137980085349
H23,Lean,T cells,LINC00996,7030,146,0.020768136557610242,0.021479374110953058
H23,Lean,T cells,NEAT1,7030,5807,0.8260312944523471,3.1941678520625887
H23,Lean,T cells,MALAT1,7030,7030,1.0,195.62944523470838
H23,Lean,T cells,IDI2-AS1,7030,14,0.001991465149359886,0.001991465149359886
H23,Lean,T cells,MIAT,7030,1427,0.20298719772403984,0.26799431009957325
H23,Lean,T cells,HULC,7030,1,0.0001422475106685633,0.0001422475106685633
H23,Lean,T cells,LINC00261,7030,0,0.0,0.0
H23,Lean,cDC1s,KCNQ1OT1,18,6,0.3333333333333333,0.4444444444444444
H23,Lean,cDC1s,MEG3,18,0,0.0,0.0
H23,Lean,cDC1s,ZFAS1,18,13,0.7222222222222222,1.7222222222222223
H23,Lean,cDC1s,LINC00996,18,0,0.0,0.0
H23,Lean,cDC1s,NEAT1,18,17,0.9444444444444444,11.166666666666666
H23,Lean,cDC1s,MALAT1,18,17,0.9444444444444444,319.94444444444446
H23,Lean,cDC1s,IDI2-AS1,18,0,0.0,0.0
H23,Lean,cDC1s,MIAT,18,0,0.0,0.0
H23,Lean,cDC1s,HULC,18,0,0.0,0.0
H23,Lean,cDC1s,LINC00261,18,0,0.0,0.0
H23,Lean,cDC2s,KCNQ1OT1,25,8,0.32,0.4
H23,Lean,cDC2s,MEG3,25,0,0.0,0.0
H23,Lean,cDC2s,ZFAS1,25,19,0.76,1.4
H23,Lean,cDC2s,LINC00996,25,0,0.0,0.0
H23,Lean,cDC2s,NEAT1,25,25,1.0,12.36
H23,Lean,cDC2s,MALAT1,25,25,1.0,197.24
H23,Lean,cDC2s,IDI2-AS1,25,0,0.0,0.0
H23,Lean,cDC2s,MIAT,25,0,0.0,0.0
H23,Lean,cDC2s,HULC,25,0,0.0,0.0
H23,Lean,cDC2s,LINC00261,25,0,0.0,0.0
H23,Lean,pDCs,KCNQ1OT1,47,4,0.0851063829787234,0.10638297872340426
H23,Lean,pDCs,MEG3,47,0,0.0,0.0
H23,Lean,pDCs,ZFAS1,47,32,0.6808510638297872,1.425531914893617
H23,Lean,pDCs,LINC00996,47,21,0.44680851063829785,1.0
H23,Lean,pDCs,NEAT1,47,40,0.851063829787234,2.6808510638297873
H23,Lean,pDCs,MALAT1,47,47,1.0,151.31914893617022
H23,Lean,pDCs,IDI2-AS1,47,0,0.0,0.0
H23,Lean,pDCs,MIAT,47,1,0.02127659574468085,0.02127659574468085
H23,Lean,pDCs,HULC,47,0,0.0,0.0
H23,Lean,pDCs,LINC00261,47,0,0.0,0.0
H25,Lean,B cells,KCNQ1OT1,231,34,0.1471861471861472,0.21645021645021645
H25,Lean,B cells,MEG3,231,1,0.004329004329004329,0.004329004329004329
H25,Lean,B cells,ZFAS1,231,194,0.8398268398268398,2.6147186147186146
H25,Lean,B cells,LINC00996,231,11,0.047619047619047616,0.06060606060606061
H25,Lean,B cells,NEAT1,231,168,0.7272727272727273,2.502164502164502
H25,Lean,B cells,MALAT1,231,231,1.0,269.2900432900433
H25,Lean,B cells,IDI2-AS1,231,0,0.0,0.0
H25,Lean,B cells,MIAT,231,6,0.025974025974025976,0.025974025974025976
H25,Lean,B cells,HULC,231,0,0.0,0.0
H25,Lean,B cells,LINC00261,231,0,0.0,0.0
H25,Lean,Basophils,KCNQ1OT1,54,15,0.2777777777777778,0.35185185185185186
H25,Lean,Basophils,MEG3,54,3,0.05555555555555555,0.07407407407407407
H25,Lean,Basophils,ZFAS1,54,27,0.5,0.8888888888888888
H25,Lean,Basophils,LINC00996,54,0,0.0,0.0
H25,Lean,Basophils,NEAT1,54,50,0.9259259259259259,4.555555555555555
H25,Lean,Basophils,MALAT1,54,54,1.0,254.25925925925927
H25,Lean,Basophils,IDI2-AS1,54,0,0.0,0.0
H25,Lean,Basophils,MIAT,54,0,0.0,0.0
H25,Lean,Basophils,HULC,54,1,0.018518518518518517,0.018518518518518517
H25,Lean,Basophils,LINC00261,54,0,0.0,0.0
H25,Lean,Cholangiocytes,KCNQ1OT1,62,46,0.7419354838709677,3.129032258064516
H25,Lean,Cholangiocytes,MEG3,62,2,0.03225806451612903,0.03225806451612903
H25,Lean,Cholangiocytes,ZFAS1,62,53,0.8548387096774194,2.935483870967742
H25,Lean,Cholangiocytes,LINC00996,62,0,0.0,0.0
H25,Lean,Cholangiocytes,NEAT1,62,57,0.9193548387096774,4.032258064516129
H25,Lean,Cholangiocytes,MALAT1,62,62,1.0,371.258064516129
H25,Lean,Cholangiocytes,IDI2-AS1,62,0,0.0,0.0
H25,Lean,Cholangiocytes,MIAT,62,1,0.016129032258064516,0.016129032258064516
H25,Lean,Cholangiocytes,HULC,62,1,0.016129032258064516,0.016129032258064516
H25,Lean,Cholangiocytes,LINC00261,62,30,0.4838709677419355,0.8548387096774194
H25,Lean,Circulating NK/NKT,KCNQ1OT1,1370,56,0.040875912408759124,0.058394160583941604
H25,Lean,Circulating NK/NKT,MEG3,1370,3,0.0021897810218978104,0.0021897810218978104
H25,Lean,Circulating NK/NKT,ZFAS1,1370,590,0.4306569343065693,0.6021897810218978
H25,Lean,Circulating NK/NKT,LINC00996,1370,34,0.024817518248175182,0.026277372262773723
H25,Lean,Circulating NK/NKT,NEAT1,1370,1296,0.945985401459854,4.348175182481752
H25,Lean,Circulating NK/NKT,MALAT1,1370,1370,1.0,240.0897810218978
H25,Lean,Circulating NK/NKT,IDI2-AS1,1370,2,0.00145985401459854,0.00145985401459854
H25,Lean,Circulating NK/NKT,MIAT,1370,93,0.06788321167883211,0.07226277372262774
H25,Lean,Circulating NK/NKT,HULC,1370,1,0.00072992700729927,0.00072992700729927
H25,Lean,Circulating NK/NKT,LINC00261,1370,0,0.0,0.0
H25,Lean,Endothelial cells,KCNQ1OT1,187,57,0.3048128342245989,0.5614973262032086
H25,Lean,Endothelial cells,MEG3,187,163,0.8716577540106952,4.213903743315508
H25,Lean,Endothelial cells,ZFAS1,187,76,0.40641711229946526,0.6577540106951871
H25,Lean,Endothelial cells,LINC00996,187,0,0.0,0.0
H25,Lean,Endothelial cells,NEAT1,187,186,0.9946524064171123,23.331550802139038
H25,Lean,Endothelial cells,MALAT1,187,187,1.0,301.47058823529414
H25,Lean,Endothelial cells,IDI2-AS1,187,2,0.0106951871657754,0.0106951871657754
H25,Lean,Endothelial cells,MIAT,187,31,0.1657754010695187,0.25668449197860965
H25,Lean,Endothelial cells,HULC,187,4,0.0213903743315508,0.026737967914438502
H25,Lean,Endothelial cells,LINC00261,187,1,0.0053475935828877,0.0053475935828877
H25,Lean,Fibroblasts,KCNQ1OT1,13,2,0.15384615384615385,0.38461538461538464
H25,Lean,Fibroblasts,MEG3,13,3,0.23076923076923078,0.6153846153846154
H25,Lean,Fibroblasts,ZFAS1,13,9,0.6923076923076923,1.3076923076923077
H25,Lean,Fibroblasts,LINC00996,13,0,0.0,0.0
H25,Lean,Fibroblasts,NEAT1,13,9,0.6923076923076923,3.4615384615384617
H25,Lean,Fibroblasts,MALAT1,13,13,1.0,342.3076923076923
H25,Lean,Fibroblasts,IDI2-AS1,13,0,0.0,0.0
H25,Lean,Fibroblasts,MIAT,13,0,0.0,0.0
H25,Lean,Fibroblasts,HULC,13,0,0.0,0.0
H25,Lean,Fibroblasts,LINC00261,13,0,0.0,0.0
H25,Lean,Macrophages,KCNQ1OT1,569,97,0.1704745166959578,0.2530755711775044
H25,Lean,Macrophages,MEG3,569,2,0.0035149384885764497,0.0035149384885764497
H25,Lean,Macrophages,ZFAS1,569,463,0.8137082601054482,2.154657293497364
H25,Lean,Macrophages,LINC00996,569,21,0.03690685413005272,0.0421792618629174
H25,Lean,Macrophages,NEAT1,569,567,0.9964850615114236,17.420035149384887
H25,Lean,Macrophages,MALAT1,569,569,1.0,198.52021089630932
H25,Lean,Macrophages,IDI2-AS1,569,1,0.0017574692442882249,0.0017574692442882249
H25,Lean,Macrophages,MIAT,569,5,0.008787346221441126,0.008787346221441126
H25,Lean,Macrophages,HULC,569,9,0.015817223198594025,0.015817223198594025
H25,Lean,Macrophages,LINC00261,569,1,0.0017574692442882249,0.0017574692442882249
H25,Lean,Mig.cDCs,KCNQ1OT1,2,0,0.0,0.0
H25,Lean,Mig.cDCs,MEG3,2,0,0.0,0.0
H25,Lean,Mig.cDCs,ZFAS1,2,2,1.0,5.5
H25,Lean,Mig.cDCs,LINC00996,2,0,0.0,0.0
H25,Lean,Mig.cDCs,NEAT1,2,2,1.0,14.0
H25,Lean,Mig.cDCs,MALAT1,2,2,1.0,543.5
H25,Lean,Mig.cDCs,IDI2-AS1,2,0,0.0,0.0
H25,Lean,Mig.cDCs,MIAT,2,0,0.0,0.0
H25,Lean,Mig.cDCs,HULC,2,0,0.0,0.0
H25,Lean,Mig.cDCs,LINC00261,2,0,0.0,0.0
H25,Lean,Mono+mono derived cells,KCNQ1OT1,456,89,0.19517543859649122,0.31140350877192985
H25,Lean,Mono+mono derived cells,MEG3,456,6,0.013157894736842105,0.03728070175438596
H25,Lean,Mono+mono derived cells,ZFAS1,456,401,0.8793859649122807,2.787280701754386
H25,Lean,Mono+mono derived cells,LINC00996,456,1,0.0021929824561403508,0.0021929824561403508
H25,Lean,Mono+mono derived cells,NEAT1,456,456,1.0,26.714912280701753
H25,Lean,Mono+mono derived cells,MALAT1,456,456,1.0,181.46271929824562
H25,Lean,Mono+mono derived cells,IDI2-AS1,456,0,0.0,0.0
H25,Lean,Mono+mono derived cells,MIAT,456,4,0.008771929824561403,0.008771929824561403
H25,Lean,Mono+mono derived cells,HULC,456,0,0.0,0.0
H25,Lean,Mono+mono derived cells,LINC00261,456,0,0.0,0.0
H25,Lean,Neutrophils,KCNQ1OT1,21,0,0.0,0.0
H25,Lean,Neutrophils,MEG3,21,2,0.09523809523809523,0.09523809523809523
H25,Lean,Neutrophils,ZFAS1,21,0,0.0,0.0
H25,Lean,Neutrophils,LINC00996,21,0,0.0,0.0
H25,Lean,Neutrophils,NEAT1,21,14,0.6666666666666666,3.5714285714285716
H25,Lean,Neutrophils,MALAT1,21,21,1.0,27.333333333333332
H25,Lean,Neutrophils,IDI2-AS1,21,0,0.0,0.0
H25,Lean,Neutrophils,MIAT,21,0,0.0,0.0
H25,Lean,Neutrophils,HULC,21,0,0.0,0.0
H25,Lean,Neutrophils,LINC00261,21,0,0.0,0.0
H25,Lean,Plasma cells,KCNQ1OT1,177,63,0.3559322033898305,0.7344632768361582
H25,Lean,Plasma cells,MEG3,177,3,0.01694915254237288,0.01694915254237288
H25,Lean,Plasma cells,ZFAS1,177,74,0.4180790960451977,0.7853107344632768
H25,Lean,Plasma cells,LINC00996,177,12,0.06779661016949153,0.0903954802259887
H25,Lean,Plasma cells,NEAT1,177,175,0.9887005649717514,14.864406779661017
H25,Lean,Plasma cells,MALAT1,177,177,1.0,402.1073446327684
H25,Lean,Plasma cells,IDI2-AS1,177,0,0.0,0.0
H25,Lean,Plasma cells,MIAT,177,10,0.05649717514124294,0.05649717514124294
H25,Lean,Plasma cells,HULC,177,0,0.0,0.0
H25,Lean,Plasma cells,LINC00261,177,0,0.0,0.0
H25,Lean,Resident NK,KCNQ1OT1,2493,89,0.03569995988768552,0.04492579221821099
H25,Lean,Resident NK,MEG3,2493,3,0.0012033694344163659,0.0012033694344163659
H25,Lean,Resident NK,ZFAS1,2493,1104,0.4428399518652226,0.6353790613718412
H25,Lean,Resident NK,LINC00996,2493,491,0.19695146409947853,0.2242278379462495
H25,Lean,Resident NK,NEAT1,2493,2215,0.8884877657440834,3.1728840754111514
H25,Lean,Resident NK,MALAT1,2493,2493,1.0,204.0212595266747
H25,Lean,Resident NK,IDI2-AS1,2493,20,0.008022462896109106,0.008022462896109106
H25,Lean,Resident NK,MIAT,2493,4,0.001604492579221821,0.001604492579221821
H25,Lean,Resident NK,HULC,2493,6,0.0024067388688327317,0.0024067388688327317
H25,Lean,Resident NK,LINC00261,2493,1,0.00040112314480545525,0.00040112314480545525
H25,Lean,T cells,KCNQ1OT1,3602,206,0.05719044975013881,0.07079400333148252
H25,Lean,T cells,MEG3,3602,4,0.001110494169905608,0.001110494169905608
H25,Lean,T cells,ZFAS1,3602,2396,0.6651860077734592,1.215435868961688
H25,Lean,T cells,LINC00996,3602,57,0.015824541921154914,0.017212659633536923
H25,Lean,T cells,NEAT1,3602,3173,0.8808995002776235,3.27623542476402
H25,Lean,T cells,MALAT1,3602,3602,1.0,268.164353137146
H25,Lean,T cells,IDI2-AS1,3602,7,0.001943364797334814,0.001943364797334814
H25,Lean,T cells,MIAT,3602,333,0.09244863964464187,0.10910605219322599
H25,Lean,T cells,HULC,3602,2,0.000555247084952804,0.000555247084952804
H25,Lean,T cells,LINC00261,3602,0,0.0,0.0
H25,Lean,cDC1s,KCNQ1OT1,34,7,0.20588235294117646,0.23529411764705882
H25,Lean,cDC1s,MEG3,34,0,0.0,0.0
H25,Lean,cDC1s,ZFAS1,34,31,0.9117647058823529,4.205882352941177
H25,Lean,cDC1s,LINC00996,34,0,0.0,0.0
H25,Lean,cDC1s,NEAT1,34,34,1.0,10.676470588235293
H25,Lean,cDC1s,MALAT1,34,34,1.0,319.29411764705884
H25,Lean,cDC1s,IDI2-AS1,34,0,0.0,0.0
H25,Lean,cDC1s,MIAT,34,0,0.0,0.0
H25,Lean,cDC1s,HULC,34,0,0.0,0.0
H25,Lean,cDC1s,LINC00261,34,0,0.0,0.0
H25,Lean,cDC2s,KCNQ1OT1,51,5,0.09803921568627451,0.13725490196078433
H25,Lean,cDC2s,MEG3,51,0,0.0,0.0
H25,Lean,cDC2s,ZFAS1,51,48,0.9411764705882353,4.0588235294117645
H25,Lean,cDC2s,LINC00996,51,0,0.0,0.0
H25,Lean,cDC2s,NEAT1,51,51,1.0,8.764705882352942
H25,Lean,cDC2s,MALAT1,51,51,1.0,255.9607843137255
H25,Lean,cDC2s,IDI2-AS1,51,0,0.0,0.0
H25,Lean,cDC2s,MIAT,51,0,0.0,0.0
H25,Lean,cDC2s,HULC,51,0,0.0,0.0
H25,Lean,cDC2s,LINC00261,51,0,0.0,0.0
H25,Lean,pDCs,KCNQ1OT1,28,4,0.14285714285714285,0.21428571428571427
H25,Lean,pDCs,MEG3,28,1,0.03571428571428571,0.03571428571428571
H25,Lean,pDCs,ZFAS1,28,18,0.6428571428571429,1.7142857142857142
H25,Lean,pDCs,LINC00996,28,17,0.6071428571428571,1.9285714285714286
H25,Lean,pDCs,NEAT1,28,18,0.6428571428571429,1.8928571428571428
H25,Lean,pDCs,MALAT1,28,28,1.0,313.60714285714283
H25,Lean,pDCs,IDI2-AS1,28,0,0.0,0.0
H25,Lean,pDCs,MIAT,28,1,0.03571428571428571,0.03571428571428571
H25,Lean,pDCs,HULC,28,0,0.0,0.0
H25,Lean,pDCs,LINC00261,28,0,0.0,0.0
H37,Obese,Hepatocytes,KCNQ1OT1,6,1,0.16666666666666666,0.16666666666666666
H37,Obese,Hepatocytes,MEG3,6,0,0.0,0.0
H37,Obese,Hepatocytes,ZFAS1,6,0,0.0,0.0
H37,Obese,Hepatocytes,LINC00996,6,0,0.0,0.0
