gene,lineage,spearman_rho,wald_p,q_within_lineage,q_crosslineage
MEG3,LSEC,-0.3443934530674414,1.6900647006564935e-34,1.458525836666554e-31,1.4959239350426195e-32
ZFAS1,LSEC,0.3342664475460078,1.7625147800165752e-32,7.605251275771522e-30,1.4149304699109808e-30
LINC00996,Cholangiocyte,-0.3526724774108222,2.6948319707142655e-231,2.325639990726411e-228,4.651279981452822e-228
